"","Gene","avg_fold_changes"
"154","hsa-mir-518e",14.3456343150577
"155","IFNA21",14.2525241328801
"156","DNAJC7",14.0306067932739
"157","ANO6",14.0112996930161
"158","CARD6",14.0066630709351
"159","PTGDR",13.8238904804902
"160","C14orf178",13.7896616689531
"161","SETBP1",13.4816094870764
"162","C6orf170",13.3747495780171
"163","CNGA4",13.3099391299671
"164","RPS27A",12.9734838130856
"165","VCP",12.9505947409222
"166","ZNF460",12.8708521244493
"167","DPM1",12.7516366765926
"168","GSX2",12.7192633876703
"169","hsa-mir-6499",12.5876628458432
"170","DNAJC10",12.5596350707941
"171","SPPL3",12.4402516807935
"172","LSS",12.2653175573707
"173","TPP2",12.2449599656652
"174","TMEM63C",12.2016030515215
"175","NR1H2",12.1605139976392
"176","CCDC59",12.1092161590098
"177","PLSCR1",11.9636141396264
"178","CTXN3",11.6962094372104
"179","UGT3A2",11.3336798861662
"180","C3orf18",11.2872344605537
"181","hsa-mir-8070",11.2012774033732
"182","VWA8",11.1676839278449
"183","FARP2",11.1139114764308
"184","PSMD13",11.0617328426774
"185","MIA3",11.0183883287497
"186","RBM41",10.9950679843808
"187","hsa-mir-2277",10.9876091734975
"188","SERPINA7",10.9710524229033
"189","RFPL4B",10.9458499303866
"190","GATAD1",10.8385308546731
"191","CD101",10.8038093977655
"192","MDN1",10.7362683071649
"193","hsa-mir-425",10.6951183740869
"194","TPPP3",10.6552130603251
"195","RBM26",10.6431708271887
"196","MAP4K1",10.6400554087547
"197","LRPAP1",10.5465511684666
"198","hsa-mir-4267",10.454770858097
"199","GPBP1L1",10.4431721804466
"200","FBXL6",10.4027612887525
"201","CXorf51A",10.2055780630473
"202","AAK1",10.1852929206355
"203","TSPEAR",10.1653797596677
"204","TTC9C",10.1437081317878
"205","FAM219A",10.1122196491428
"206","C14orf183",10.0177943714933
"207","MRPL32",9.96380310963612
"208","GPR25",9.87965890746478
"209","TNKS",9.87715219088722
"210","RFC5",9.85544078711859
"211","IMPA1",9.85139960426378
"212","ARL4C",9.74379318367937
"213","PASD1",9.65666466413422
"214","hsa-mir-4734",9.50984561418239
"215","LYG2",9.45044662159729
"216","MORN5",9.44732754245046
"217","SLC25A15",9.40078599410869
"218","APBB3",9.3830889149367
"219","ZC3HAV1L",9.33265194833997
"220","FMR1",9.21890504836054
"221","ZNF605",9.12764099047798
"222","TRIM11",9.07966646873235
"223","DAW1",9.07579645814291
"224","DYNLRB2",9.06549478402822
"225","ZNF596",9.03609484071158
"226","CANT1",8.85811159859866
"227","GLS",8.83534323104761
"228","CCDC106",8.83287465559853
"229","HEYL",8.79802133711942
"230","GOLPH3L",8.78379284550877
"231","NCF2",8.77443294344433
"232","PDCD6IP",8.74274025017523
"233","FBXO24",8.73793178646049
"234","S100A14",8.64952772544176
"235","SLC7A14",8.64244874163516
"236","FOLH1",8.62582752562392
"237","NR2F1",8.61701203417912
"238","RAB40A",8.59252055830456
"239","LRRC58",8.58178891413689
"240","hsa-mir-592",8.53340895942151
"241","SULT1E1",8.52923968216912
"242","PGM2L1",8.50848899807115
"243","DSG3",8.50436757291017
"244","CDH3",8.24780108889601
"245","HOXA4",8.21211993265014
"246","APOC3",8.18815619444339
"247","TARSL2",8.14281106656641
"248","ZBTB33",8.0932013876814
"249","NDRG4",8.07709252822812
"250","KCTD8",8.05548888484504
"251","TMEM236",8.03535584617193
"252","MYEOV2",7.96474335212709
"253","SLC28A3",7.9510384812037
"254","ADCY7",7.88678791167971
"255","ZSCAN5A",7.86566749994773
"256","CDC73",7.81900907267997
"257","C11orf71",7.79221193226994
"258","GLUD2",7.65621517569475
"259","IDE",7.6245844877315
"260","CCDC152",7.49960395664987
"261","PRRC2B",7.49809296471511
"262","FGF14",7.46093135271793
"263","IRF2",7.4194661302559
"264","ASPHD1",7.39874794578676
"265","hsa-mir-124-2",7.39178274642734
"266","IRF2BP2",7.37684000135038
"267","KLHL40",7.34693436481023
"268","STX1B",7.21169471576741
"269","RNFT2",7.15389058955097
"270","GLRX3",7.14464411282741
"271","PDE11A",7.11517458993038
"272","ANKRD1",7.06722795014708
"273","SIM2",7.02462370269993
"274","ITIH6",7.00320469598096
"275","GLG1",6.98040826837529
"276","MED27",6.92735341369171
"277","PTRHD1",6.85420981226307
"278","PCDH8",6.81496954747205
"279","NTN3",6.80215908488211
"280","ALPL",6.77487343024151
"281","CHRNA10",6.76413678478137
"282","USP27X",6.73655514188018
"283","hsa-mir-4774",6.71465734751553
"284","EFNA5",6.71241824840894
"285","MYEF2",6.6186951916236
"286","ZNF594",6.60640346820247
"287","STOX2",6.57450727397626
"288","USP17L24",6.522161120457
"289","ZNF727",6.52008357808857
"290","PRMT2",6.4666142767308
"291","RNF165",6.4562949489104
"292","IQUB",6.43840684310937
"293","METTL3",6.43273571002823
"294","VAMP7_X",6.42349984133917
"295","GOLPH3",6.40181376812654
"296","FAM72B",6.34982096192747
"297","FAM120A",6.32609178756086
"298","EFR3B",6.26680716689112
"299","STOML3",6.25682297913623
"300","hsa-mir-3691",6.21323922986923
"301","TNIP2",6.19594959664511
"302","CC2D2B",6.18567894866552
"303","hsa-mir-887",6.17229497231592
"304","GCN1L1",6.13216101378646
"305","AMFR",6.1301065358762
"306","ORAI3",6.03092185066819
"307","KCP",6.02779663098836
"308","PIR",5.9927685128305
"309","hsa-mir-129-1",5.98221295647
"310","OSBPL2",5.9660035425442
"311","TMEM176B",5.95732549615018
"312","DCBLD1",5.91150634888078
"313","GBAS",5.90872065272858
"314","FADD",5.90489301253489
"315","hsa-mir-183",5.88562292539657
"316","hsa-mir-133a-2",5.86165059412214
"317","hsa-mir-4270",5.85984655708488
"318","TFPI",5.82479454421899
"319","UHRF1",5.81176634090617
"320","CLINT1",5.71983375415462
"321","DMRTA1",5.71889379347781
"322","hsa-mir-760",5.71045572926641
"323","PRDM7",5.69567308325938
"324","CLCA2",5.67084544240151
"325","ST3GAL3",5.6548068459483
"326","SLC43A2",5.63495927735518
"327","TNFRSF6B",5.60102890072823
"328","PHOSPHO2-KLHL23",5.56905750883432
"329","RGMB",5.56558792081081
"330","GOLM1",5.53337261441404
"331","QRSL1",5.50413219730101
"332","GPR3",5.46295314439337
"333","NUDT17",5.45682951832662
"334","CSNK1G3",5.44238640055741
"335","FAM198B",5.42079903156509
"336","ACTR3",5.39228754120491
"337","CDH17",5.39139919292773
"338","EPC2",5.34166650775472
"339","ZNF530",5.3050051598868
"340","STK11IP",5.29558523047911
"341","CYP4F2",5.26948036459445
"342","ZNF821",5.25910786960341
"343","SF3B14",5.25596525891994
"344","BSPRY",5.23498042716992
"345","CASP12",5.20632157011259
"346","hsa-mir-6775",5.14971407313212
"347","LRRC57",5.13526160250053
"348","OAS3",5.11144048222232
"349","hsa-mir-509-1",5.08907412030881
"350","GPR132",5.07720915714604
"351","GATA6",5.04517970567573
"352","ARNTL",5.03443695703637
"353","IL22RA2",5.02897421806027
"354","PIK3R2",4.99346031380496
"355","CYP2R1",4.98614988265864
"356","hsa-mir-6084",4.97050827838108
"357","FANCD2",4.96924302662136
"358","MS4A7",4.92844119787687
"359","ANAPC1",4.8875536579165
"360","MIDN",4.88359928594479
"361","hsa-mir-4452",4.86876142646529
"362","ARHGAP11A",4.85889975943795
"363","GRPR",4.8103600514111
"364","FAT1",4.78621018320596
"365","ZBTB42",4.75477128984664
"366","SLIT1",4.70252560214565
"367","CRK",4.69462315346427
"368","DEFB106A",4.67577227586406
"369","ZBTB14",4.62096933390294
"370","B3GALNT1",4.60842159063308
"371","TRIM69",4.56877950528781
"372","hsa-mir-6715a",4.55977718154173
"373","TMPRSS7",4.53272473514823
"374","C3orf37",4.51694837171172
"375","ENTPD7",4.50944152141096
"376","G3BP1",4.50060454157819
"377","KIAA1257",4.49887422034687
"378","STRA6",4.48913239381881
"379","ARHGAP19",4.48713104116242
"380","PLXNA4",4.48309900500738
"381","JMJD8",4.47293507707303
"382","MBD3L2",4.42115787673095
"383","BRPF3",4.41965181593786
"384","FBXO45",4.4129404258938
"385","CBY1",4.40730904772612
"386","NTNG1",4.40476213685507
"387","INTS4",4.39988961120021
"388","hsa-mir-3118-5",4.35610014088729
"389","hsa-mir-9-1",4.34204715645451
"390","FAM189A1",4.28325890194613
"391","NOL3",4.28044368107899
"392","RGR",4.23267408710961
"393","B3GNT3",4.23186142805839
"394","OR13C5",4.22063714009135
"395","TFR2",4.19714857491597
"396","ATXN1L",4.12766892104661
"397","F9",4.12167336813709
"398","COL1A1",4.11829101480445
"399","SLC14A1",4.11407302812081
"400","CCDC92",4.10496525969161
"401","INPP5J",4.08218601659155
"402","MAGEB3",4.08080635900957
"403","PRDX3",4.06463074337592
"404","NAT9",4.06166365778347
"405","GNL3",4.05674288585151
"406","OLFM4",4.02363971348565
"407","SLC16A13",4.01256375880539
"408","hsa-mir-3123",3.96981346347796
"409","CEACAM16",3.96832905934277
"410","hsa-mir-4779",3.88506881255376
"411","TCF12",3.86538818674141
"412","ZNF76",3.85720418499724
"413","TULP2",3.84639532751481
"414","CSRP2",3.8308916072468
"415","OR2T2",3.82783054375979
"416","KRT37",3.81979635944748
"417","EIF4E1B",3.8165113439625
"418","PODXL",3.80288196227514
"419","PPP1CA",3.76451299228495
"420","PQBP1",3.75109423371648
"421","ZC2HC1B",3.70668836886976
"422","PROCR",3.682792407716
"423","hsa-mir-609",3.63219330855663
"424","LYPD8",3.6130871326079
"425","ZNF425",3.60673151672218
"426","DNAJB2",3.59043889782479
"427","IQSEC2",3.55721580986738
"428","CSNK2A2",3.54374053330445
"429","CCT7",3.52083367195651
"430","NOXO1",3.49894667082757
"431","HHLA2",3.45968389854889
"432","RTL1",3.44247941008352
"433","MFSD2A",3.429395397226
"434","ABCA8",3.4240109503996
"435","MGST3",3.41707080227944
"436","IGSF10",3.40636904495703
"437","PWP1",3.35069048689771
"438","RPA1",3.34512077431357
"439","UNKL",3.34007100069921
"440","PPP1R14B",3.33786343072494
"441","AGAP11",3.3256866786594
"442","hsa-mir-4699",3.31728508623266
"443","CYSLTR2",3.31105753920018
"444","MB",3.30689499717015
"445","SLC26A2",3.30609806870599
"446","NDUFB6",3.28424413401509
"447","PSMD10",3.2835647553593
"448","CBR4",3.2733032985754
"449","C22orf43",3.25583009738272
"450","MREG",3.23932367607304
"451","TOPAZ1",3.17765800258096
"452","PIFO",3.17612271188075
"453","GLS2",3.17423695012748
"454","FAM110B",3.17047243001368
"455","GPR21",3.1609759237079
"456","HRASLS5",3.15197436352807
"457","FLRT2",3.14367476187414
"458","CAMK2D",3.13013832638928
"459","TYMS",3.10490697023519
"460","FCGR2A",3.08612819726949
"461","NCK1",3.08392159020323
"462","MPHOSPH6",3.07083604758543
"463","MAGEB18",3.05743893810149
"464","GTF2I",3.05641738275485
"465","C4orf32",3.03940646635147
"466","hsa-mir-550a-1",3.03801600530512
"467","VAT1",3.03630304923958
"468","KIF1A",3.03063714250987
"469","ESRRG",3.01782541429071
"470","SATL1",3.01620509535826
"471","BPIFB2",3.00570458264302
"472","TLCD2",3.00097497414814
"473","ERC2",2.99895927061494
"474","FBXO4",2.97130538023348
"475","SPATA6L",2.96988238093128
"476","GK5",2.96627159097634
"477","SDS",2.94193115216916
"478","BCL6B",2.93815603200524
"479","GTPBP10",2.93479544197796
"480","LOC100288524",2.92255507813594
"481","NDC1",2.89783351850742
"482","CGB7",2.89641777000173
"483","hsa-mir-6768",2.89290150210689
"484","HN1L",2.87676250293032
"485","BTBD18",2.87209470878896
"486","PRHOXNB",2.85507009258434
"487","KLLN",2.85335164617065
"488","hsa-mir-6823",2.83796229602085
"489","ZNF853",2.8365378841089
"490","CRIM1",2.83606971015003
"491","EYA1",2.8312434726469
"492","ZNF91",2.81954144471769
"493","PANX2",2.81127829197526
"494","RS1",2.79694600961295
"495","NLGN4Y",2.78990599435761
"496","OR2G2",2.78310550984343
"497","ZNF827",2.7635988401105
"498","ASIC3",2.76094090240026
"499","FRRS1",2.75087013746006
"500","RXFP1",2.74159530503009
"501","ATOX1",2.73734174940035
"502","PF4",2.73578449832247
"503","KRT20",2.72783491046661
"504","NECAB2",2.72030234921922
"505","HEPACAM2",2.69370388830069
"506","SLC38A8",2.68297144241458
"507","C16orf3",2.67870587948604
"508","SLC30A10",2.67799343947369
"509","KCNA3",2.67766613221422
"510","EOGT",2.66782135282671
"511","SIGLEC14",2.66759977143628
"512","KRBA1",2.66408111875882
"513","PQLC1",2.6579568784561
"514","CDK4",2.65282384772356
"515","ZNF441",2.65179806908268
"516","GAPDH",2.64294310604368
"517","INIP",2.63525742219114
"518","MNS1",2.62980486846751
"519","RTN4IP1",2.62083548758527
"520","hsa-mir-6131",2.6186773983896
"521","hsa-mir-4780",2.61297708730927
"522","SH3GLB1",2.61154679283863
"523","ACAA2",2.61030516903646
"524","RHPN2",2.60367239412146
"525","GNB5",2.60361505050172
"526","SEP11",2.59811997837515
"527","CCDC89",2.58920310443995
"528","B3GNT6",2.58891229257271
"529","NEFH",2.58762825193297
"530","HOOK2",2.58385749226819
"531","ARL15",2.58100729755086
"532","NAT8L",2.56708912199072
"533","OTOL1",2.56089896765391
"534","C1QTNF1",2.55116955489005
"535","hsa-mir-596",2.54153973164934
"536","KCTD4",2.54092106369626
"537","MAP1A",2.53841886000422
"538","CD320",2.52650633352963
"539","CDC6",2.52646881848995
"540","CETN3",2.51951694195307
"541","AP5B1",2.51729671206316
"542","hsa-mir-1302-8",2.51635369295376
"543","HOXA13",2.51216611038329
"544","APOBEC2",2.50877822923171
"545","DUOXA2",2.50341696794043
"546","RASGRP2",2.48590615157461
"547","C9orf169",2.47566895362153
"548","TMEM41A",2.47119710187703
"549","ZNF93",2.47082548214176
"550","ABI1",2.46652898618114
"551","hsa-mir-545",2.464111395634
"552","C1D",2.46325393200099
"553","GNGT2",2.45571162146795
"554","HAGHL",2.44986641681459
"555","JDP2",2.43537272657874
"556","DCAF4",2.4353233450376
"557","FNIP1",2.43247259930559
"558","SOCS1",2.42689347883892
"559","MPI",2.42135507266282
"560","GSR",2.4182112205475
"561","EMP1",2.4150894902942
"562","PCDHB3",2.41417205107095
"563","CCDC61",2.40526376454904
"564","OTOA",2.39757186606324
"565","SEP9",2.39536997885516
"566","TEKT1",2.39508881881425
"567","hsa-mir-4787",2.38853394967603
"568","KCNS1",2.37836261155342
"569","hsa-mir-4648",2.37746411611537
"570","TNFRSF13C",2.37658217251875
"571","hsa-mir-548ar",2.37419721006376
"572","CD274",2.37299513647914
"573","LMOD1",2.36661837398539
"574","ZCCHC17",2.36176180396165
"575","SLC7A2",2.35763216661899
"576","RANBP2",2.35526703107078
"577","PPP1R1A",2.35115078726148
"578","MBNL2",2.33776741458543
"579","SRRM5",2.31829254936774
"580","RANGAP1",2.3177019631787
"581","CHMP4A",2.31688712841569
"582","SULT4A1",2.30537912729872
"583","C10orf68",2.29958328168185
"584","ABCA9",2.29473510792
"585","ETV1",2.28872691364969
"586","TNRC18",2.27432930025587
"587","SC5D",2.27157819960826
"588","CHSY3",2.27154693028125
"589","SLC43A1",2.26603145784677
"590","C19orf81",2.26123059178633
"591","SLCO6A1",2.25919412650926
"592","CTSG",2.25656595442206
"593","ZNF805",2.25096125030118
"594","hsa-mir-4313",2.25063262058685
"595","DHRS12",2.25040617220215
"596","ZNF675",2.25022419984808
"597","RNF6",2.24634284828586
"598","NDRG1",2.23944942689519
"599","LRRC42",2.23502218668572
"600","OR4M2",2.23493099442491
"601","SLC2A4RG",2.2319091983967
"602","hsa-mir-6800",2.22936735059387
"603","LOC100129636",2.22780651794148
"604","FIGN",2.22551424179566
"605","EPB41L4B",2.22254125930072
"606","CCL1",2.21708793173832
"607","COL18A1",2.21696912327981
"608","LRRC15",2.2152582600681
"609","FRMD1",2.21418393163866
"610","DAPK2",2.21415796689783
"611","ROPN1B",2.20534952505386
"612","MED23",2.20531548463384
"613","MED16",2.19953741238326
"614","LIG4",2.19135171832926
"615","CST11",2.18329335002822
"616","RABL2B",2.17665993582327
"617","CSNK1A1",2.17651260969906
"618","SERPINB2",2.17373460791346
"619","ROPN1L",2.16988781754268
"620","NR1I3",2.16956419762924
"621","NAP1L1",2.15760299330886
"622","HES7",2.1518314848125
"623","HAX1",2.15123247533279
"624","MYBPC2",2.14498275099603
"625","CRX",2.1407891493783
"626","HIST2H2AA3",2.13488093321321
"627","RNH1",2.13449798218954
"628","GLIS2",2.13298902911585
"629","HEXA",2.12672907376111
"630","SOGA3",2.12653319529082
"631","CALB2",2.12498908090399
"632","IQGAP2",2.11430348250289
